date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:26	80509/80509	---M-Z	200	added ('OK')	text/html	etag:W/%224a1ab1af426b01a966f42ecd2f985ba1%22	https://mentor-demo.squarespace.com/	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/index.html	(from )
12:56:26	329/329	---MCZ	200	added ('OK')	text/plain	date:Thu,%2006%20Jun%202019%2011:56:25%20GMT	https://mentor-demo.squarespace.com/robots.txt		(from )
12:56:27	9896/9896	---M-Z	200	added ('OK')	text/css	etag:site-server-css-commerce-3cf2dee12bb4759d736dea53e6c346a-gzip%22	http://static.squarespace.com/universal/styles-compressed/commerce-3cf2dee12bb4759d736dea53e6c346aa-min.css	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static.squarespace.com/universal/styles-compressed/commerce-3cf2dee12bb4759d736dea53e6c346aa-min.css	(from https://mentor-demo.squarespace.com/)
12:56:27	23354/23354	---M-Z	200	added ('OK')	text/css	etag:site-server-css-dialog-7d0827ef14cce0b773fcd1eee28fbde-gzip%22	http://static.squarespace.com/universal/styles-compressed/dialog-7d0827ef14cce0b773fcd1eee28fbdee-min.css	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static.squarespace.com/universal/styles-compressed/dialog-7d0827ef14cce0b773fcd1eee28fbdee-min.css	(from https://mentor-demo.squarespace.com/)
12:57:19	2003610/2003610	---M-Z	200	added ('OK')	text/javascript	etag:site-server-js-commerce-b88c63494e1c8433c8a3-en-u-gzip%22	http://static.squarespace.com/universal/scripts-compressed/commerce-b88c63494e1c8433c8a3-min.en-US.js	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static.squarespace.com/universal/scripts-compressed/commerce-b88c63494e1c8433c8a3-min.en-US.js	(from https://mentor-demo.squarespace.com/)
12:57:19	7622/7622	---M-Z	200	added ('OK')	text/css	etag:site-server-css-signup-731b2968dfec1d7441fe3bdef38b0c0-gzip%22	http://static.squarespace.com/universal/styles-compressed/signup-731b2968dfec1d7441fe3bdef38b0c0b-min.css	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static.squarespace.com/universal/styles-compressed/signup-731b2968dfec1d7441fe3bdef38b0c0b-min.css	(from https://mentor-demo.squarespace.com/)
12:57:22	48833/48833	---M-Z	200	added ('OK')	text/javascript	etag:site-server-js-performance-6ca9bb696d9e403d3756-en-u-gzip%22	http://static.squarespace.com/universal/scripts-compressed/performance-6ca9bb696d9e403d3756-min.en-US.js	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static.squarespace.com/universal/scripts-compressed/performance-6ca9bb696d9e403d3756-min.en-US.js	(from https://mentor-demo.squarespace.com/)
12:57:23	1286236/1286236	---M-Z	200	added ('OK')	text/javascript	etag:site-server-js-dialog-549f610665c015c8ab76-en-u-gzip%22	http://static.squarespace.com/universal/scripts-compressed/dialog-549f610665c015c8ab76-min.en-US.js	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static.squarespace.com/universal/scripts-compressed/dialog-549f610665c015c8ab76-min.en-US.js	(from https://mentor-demo.squarespace.com/)
12:57:27	1546089/1546089	---M-Z	200	added ('OK')	text/javascript	etag:site-server-js-common-ce36c8000dd19b26cc2f-en-u-gzip%22	http://static.squarespace.com/universal/scripts-compressed/common-ce36c8000dd19b26cc2f-min.en-US.js	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static.squarespace.com/universal/scripts-compressed/common-ce36c8000dd19b26cc2f-min.en-US.js	(from https://mentor-demo.squarespace.com/)
12:57:34	719/719	---M--	200	added ('OK')	application/rss+xml	etag:W/%2227fe78d800ffc3e0ad20582e2d8dad87%22	https://mentor-demo.squarespace.com/home-mentor?format=RSS	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/home-mentorcecb	(from https://mentor-demo.squarespace.com/)
